UWID,DateTime,Depth,temp,wqx.id,nhd_id
ME,1995-12-06,4,2.3,,nhd_13293262
ME,1995-12-06,8,2.3,,nhd_13293262
ME,1995-12-06,12,2.3,,nhd_13293262
ME,1995-12-06,16,2.3,,nhd_13293262
ME,1995-12-06,20,2.3,,nhd_13293262
ME,1995-12-06,23,2.3,,nhd_13293262
ME,1996-04-09,0,4.2,,nhd_13293262
ME,1996-04-09,1,3.9,,nhd_13293262
ME,1996-04-09,2,3.9,,nhd_13293262
ME,1996-04-09,3,3.8,,nhd_13293262
ME,1996-04-09,4,3.8,,nhd_13293262
ME,1996-04-09,5,3.8,,nhd_13293262
ME,1996-04-09,6,3.8,,nhd_13293262
ME,1996-04-09,7,3.7,,nhd_13293262
ME,1996-04-09,8,3.7,,nhd_13293262
ME,1996-04-09,9,3.7,,nhd_13293262
ME,1996-04-09,10,3.7,,nhd_13293262
ME,1996-04-09,11,3.7,,nhd_13293262
ME,1996-04-09,12,3.7,,nhd_13293262
ME,1996-04-09,13,3.7,,nhd_13293262
ME,1996-04-09,14,3.8,,nhd_13293262
ME,1996-04-09,15,3.8,,nhd_13293262
ME,1996-04-09,16,3.8,,nhd_13293262
ME,1996-04-09,17,3.8,,nhd_13293262
ME,1996-04-09,18,3.9,,nhd_13293262
ME,1996-04-09,19,3.9,,nhd_13293262
ME,1996-04-09,20,3.9,,nhd_13293262
ME,1996-04-17,0,4.6,,nhd_13293262
ME,1996-04-17,1,4.5,,nhd_13293262
ME,1996-04-17,2,4.5,,nhd_13293262
ME,1996-04-17,3,4.5,,nhd_13293262
ME,1996-04-17,4,4.5,,nhd_13293262
ME,1996-04-17,5,4.5,,nhd_13293262
ME,1996-04-17,6,4.5,,nhd_13293262
ME,1996-04-17,7,4.5,,nhd_13293262
ME,1996-04-17,8,4.5,,nhd_13293262
ME,1996-04-17,9,4.5,,nhd_13293262
ME,1996-04-17,10,4.5,,nhd_13293262
ME,1996-04-17,11,4.5,,nhd_13293262
ME,1996-04-17,12,4.5,,nhd_13293262
ME,1996-04-17,13,4.5,,nhd_13293262
ME,1996-04-17,14,4.5,,nhd_13293262
ME,1996-04-17,15,4.5,,nhd_13293262
ME,1996-04-17,16,4.5,,nhd_13293262
ME,1996-04-17,17,4.5,,nhd_13293262
ME,1996-04-17,18,4.5,,nhd_13293262
ME,1996-04-17,19,4.5,,nhd_13293262
ME,1996-04-17,20,4.5,,nhd_13293262
ME,1996-04-17,21,4.5,,nhd_13293262
ME,1996-04-17,22,4.5,,nhd_13293262
ME,1996-05-01,0,7.3,,nhd_13293262
ME,1996-05-01,1,7.3,,nhd_13293262
ME,1996-05-01,2,7.3,,nhd_13293262
ME,1996-05-01,3,7.3,,nhd_13293262
ME,1996-05-01,4,7.3,,nhd_13293262
ME,1996-05-01,5,7.3,,nhd_13293262
ME,1996-05-01,6,7.3,,nhd_13293262
ME,1996-05-01,7,7.3,,nhd_13293262
ME,1996-05-01,8,7.3,,nhd_13293262
ME,1996-05-01,9,7.3,,nhd_13293262
ME,1996-05-01,10,7.3,,nhd_13293262
ME,1996-05-01,11,7.3,,nhd_13293262
ME,1996-05-01,12,7.3,,nhd_13293262
ME,1996-05-01,13,7.3,,nhd_13293262
ME,1996-05-01,14,7.3,,nhd_13293262
ME,1996-05-01,15,7.3,,nhd_13293262
ME,1996-05-01,16,7.3,,nhd_13293262
ME,1996-05-01,17,7.3,,nhd_13293262
ME,1996-05-01,18,7.3,,nhd_13293262
ME,1996-05-01,19,7.3,,nhd_13293262
ME,1996-05-01,20,7.2,,nhd_13293262
ME,1996-05-01,21,7.2,,nhd_13293262
ME,1996-05-01,22,7.2,,nhd_13293262
ME,1996-05-01,23,7.2,,nhd_13293262
ME,1996-05-01,24,7.2,,nhd_13293262
ME,1996-05-14,0,9.1,,nhd_13293262
ME,1996-05-14,1,9.1,,nhd_13293262
ME,1996-05-14,2,9.1,,nhd_13293262
ME,1996-05-14,3,9,,nhd_13293262
ME,1996-05-14,4,9,,nhd_13293262
ME,1996-05-14,5,9,,nhd_13293262
ME,1996-05-14,6,9,,nhd_13293262
ME,1996-05-14,7,9,,nhd_13293262
ME,1996-05-14,8,9,,nhd_13293262
ME,1996-05-14,9,9,,nhd_13293262
ME,1996-05-14,10,9,,nhd_13293262
ME,1996-05-14,11,9,,nhd_13293262
ME,1996-05-14,12,9,,nhd_13293262
ME,1996-05-14,13,9,,nhd_13293262
ME,1996-05-14,14,9,,nhd_13293262
ME,1996-05-14,15,8.9,,nhd_13293262
ME,1996-05-14,16,8.4,,nhd_13293262
ME,1996-05-14,17,8.2,,nhd_13293262
ME,1996-05-14,18,8.1,,nhd_13293262
ME,1996-05-14,19,8.1,,nhd_13293262
ME,1996-05-14,20,8.1,,nhd_13293262
ME,1996-05-14,21,8.1,,nhd_13293262
ME,1996-05-14,22,8,,nhd_13293262
ME,1996-05-14,23,8,,nhd_13293262
ME,1996-05-28,0,11.6,,nhd_13293262
ME,1996-05-28,1,11.6,,nhd_13293262
ME,1996-05-28,2,11.6,,nhd_13293262
ME,1996-05-28,3,11.6,,nhd_13293262
ME,1996-05-28,4,11.6,,nhd_13293262
ME,1996-05-28,5,11.6,,nhd_13293262
ME,1996-05-28,6,11.6,,nhd_13293262
ME,1996-05-28,7,11.6,,nhd_13293262
ME,1996-05-28,8,11.6,,nhd_13293262
ME,1996-05-28,9,11.6,,nhd_13293262
